"Model";"Batterysize";"Range..avg...388.km.";"Consumption"
"firefly firefly";"41.2";240;172
"Ford Capri Extended Range AWD";"77";445;173
"Ford Capri Extended Range RWD";"79";470;168
"Ford Capri Standard Range RWD";"58";350;166
"Ford e-Tourneo Courier";"43.6";200;218
"Ford e-Tourneo Custom L1 160 kW AWD";"71";265;268
"Ford e-Tourneo Custom L1 160 kW RWD";"71";270;263
"Ford e-Tourneo Custom L1 210 kW AWD";"71";255;278
"Ford e-Tourneo Custom L1 210 kW RWD";"71";255;278
"Ford e-Tourneo Custom L2 160 kW AWD";"71";260;273
"Ford e-Tourneo Custom L2 160 kW RWD";"71";270;263
"Ford e-Tourneo Custom L2 210 kW AWD";"71";250;284
"Ford e-Tourneo Custom L2 210 kW RWD";"71";255;278
"Ford Explorer Extended Range AWD";"77";430;179
"Ford Explorer Extended Range RWD";"79";450;176
"Ford Explorer Standard Range RWD";"58";335;173
"Ford Mustang Mach-E ER AWD";"88";445;204
"Ford Mustang Mach-E ER AWD";"88";445;202
"Ford Mustang Mach-E ER AWD";"88";435;204
"Ford Mustang Mach-E ER AWD";"88";435;202
"Ford Mustang Mach-E ER AWD";"91";445;204
"Ford Mustang Mach-E ER AWD";"91";445;202
"Ford Mustang Mach-E ER AWD";"91";435;204
"Ford Mustang Mach-E ER AWD";"91";435;202
"Ford Mustang Mach-E ER RWD";"91";475;190
"Ford Mustang Mach-E ER RWD";"91";475;185
"Ford Mustang Mach-E ER RWD";"91";480;190
"Ford Mustang Mach-E ER RWD";"91";480;185
"Ford Mustang Mach-E ER RWD";"88";475;190
"Ford Mustang Mach-E ER RWD";"88";475;185
"Ford Mustang Mach-E ER RWD";"88";480;190
"Ford Mustang Mach-E ER RWD";"88";480;185
"Ford Mustang Mach-E GT";"91";435;214
"Ford Mustang Mach-E GT";"91";435;209
"Ford Mustang Mach-E GT";"91";425;214
"Ford Mustang Mach-E GT";"91";425;209
"Ford Mustang Mach-E GT";"91";435;214
"Ford Mustang Mach-E GT";"91";435;209
"Ford Mustang Mach-E GT";"91";425;214
"Ford Mustang Mach-E GT";"91";425;209
"Ford Mustang Mach-E Rally";"91";415;222
"Ford Mustang Mach-E Rally";"91";415;219
"Ford Mustang Mach-E Rally";"91";410;222
"Ford Mustang Mach-E Rally";"91";410;219
"Ford Mustang Mach-E Rally";"91";415;222
"Ford Mustang Mach-E Rally";"91";415;219
"Ford Mustang Mach-E Rally";"91";410;222
"Ford Mustang Mach-E Rally";"91";410;219
"Ford Mustang Mach-E SR RWD";"72.6";385;189
"Ford Mustang Mach-E SR RWD";"72.6";385;191
"Ford Mustang Mach-E SR RWD";"72.6";380;189
"Ford Mustang Mach-E SR RWD";"72.6";380;191
"Ford Mustang Mach-E SR RWD";"72.6";385;189
"Ford Mustang Mach-E SR RWD";"72.6";385;191
"Ford Mustang Mach-E SR RWD";"72.6";380;189
"Ford Mustang Mach-E SR RWD";"72.6";380;191
"Ford Puma Gen-E";"43.6";275;159
"Geely EX5";"60.2";330;182
"Genesis G80 Electrified";"90";490;184
"Genesis GV60 Performance";"80";400;200
"Genesis GV60 Pure";"80";425;188
"Genesis GV60 Sport";"80";410;195
"Genesis GV70 Electrified";"80";385;208
"GWM ORA 03 48 kWh";"45.4";260;175
"GWM ORA 03 63 kWh";"59.3";340;174
"GWM ORA 03 GT";"59.3";325;182
"GWM ORA 07 GT";"83.5";430;194
"GWM ORA 07 Pro";"64.3";350;184
"GWM ORA 07 Pure";"64.3";350;184
"Honda e:Ny1";"61.9";335;185
"Hongqi E-HS7 111 kWh AWD Pro";"95.3";435;219
"Hongqi E-HS7 111 kWh Long Range";"95.3";455;209
"Hongqi E-HS9 120 kWh";"112";455;246
"Hongqi E-HS9 84 kWh";"76.5";320;239
"Hongqi E-HS9 99 kWh";"90";370;243
"Hongqi EH7 111 kWh Long Range";"95.3";550;173
"Hyundai INSTER Long Range";"46";300;153
"Hyundai INSTER Standard Range";"39";255;153
"Hyundai IONIQ 5 63 kWh RWD";"60";345;174
"Hyundai IONIQ 5 84 kWh AWD";"80";445;180
"Hyundai IONIQ 5 84 kWh RWD";"80";450;178
"Hyundai IONIQ 5 N";"80";390;205
"Hyundai IONIQ 6 63 kWh RWD";"60";420;143
"Hyundai IONIQ 6 84 kWh AWD";"80";520;154
"Hyundai IONIQ 6 84 kWh RWD";"80";545;147
"Hyundai IONIQ 6 Long Range 2WD";"74";495;149
"Hyundai IONIQ 6 Long Range AWD";"74";440;168
"Hyundai IONIQ 6 N";"80";440;182
"Hyundai IONIQ 6 Standard Range 2WD";"50";335;149
"Hyundai IONIQ 9 Long Range AWD";"106";495;214
"Hyundai IONIQ 9 Long Range RWD";"106";505;210
"Hyundai IONIQ 9 Performance AWD";"106";485;219
"Hyundai Kona Electric 48.6 kWh";"48.6";295;165
"Hyundai Kona Electric 64.8 kWh";"64.8";385;168
"Hyundai Kona Electric 65 kWh";"65.4";390;168
"Jaecoo 5 EV";"58.9";325;181
"Jeep Avenger Electric";"50.8";310;164
"Jeep Compass Electric 74 kWh";"73.7";370;199
"KGM Musso EV 2WD";"80.6";365;221
"KGM Musso EV 4WD";"80.6";360;224
"KGM Torres EVX";"72";370;195
"KGM Torres EVX 80.6 kWh";"79";400;198
"Kia EV2 42.2 kWh";"41";240;171
"Kia EV2 61 kWh";"58";340;171
"Kia EV3 Long Range";"78";455;171
"Kia EV3 Standard Range";"55";325;169
"Kia EV4 Fastback 81.4 kWh";"78";495;158
