"Model";"Batterysize";"Range..avg...388.km.";"Consumption"
"VinFast VF 6 Plus";"59.6";310;192
"VinFast VF 8 Eco Extended Range";"87.7";405;217
"VinFast VF 8 Plus Extended Range";"87.7";400;219
"Volkswagen e-Caravelle L1 100 kW 64 kWh";"63.8";245;260
"Volkswagen e-Caravelle L1 160 kW 64 kWh";"63.8";245;260
"Volkswagen e-Caravelle L1 210 kW 64 kWh";"63.8";245;260
"Volkswagen e-Caravelle L2 100 kW 64 kWh";"63.8";245;260
"Volkswagen e-Caravelle L2 160 kW 64 kWh";"63.8";245;260
"Volkswagen e-Caravelle L2 210 kW 64 kWh";"63.8";245;260
"Volkswagen e-Transporter Kombi L1 100 kW 64 kWh";"63.8";255;250
"Volkswagen e-Transporter Kombi L1 160 kW 64 kWh";"63.8";255;250
"Volkswagen e-Transporter Kombi L1 210 kW 64 kWh";"63.8";255;250
"Volkswagen e-Transporter Kombi L2 100 kW 64 kWh";"63.8";250;255
"Volkswagen e-Transporter Kombi L2 160 kW 64 kWh";"63.8";250;255
"Volkswagen e-Transporter Kombi L2 210 kW 64 kWh";"63.8";250;255
"Volkswagen ID. Buzz LWB GTX ";"86";380;226
"Volkswagen ID. Buzz LWB Pro";"86";390;221
"Volkswagen ID. Buzz NWB GTX";"79";360;219
"Volkswagen ID. Buzz NWB Pro";"79";370;214
"Volkswagen ID. Buzz NWB Pure";"59";265;223
"Volkswagen ID.3 GTX";"79";470;168
"Volkswagen ID.3 GTX Performance";"79";465;170
"Volkswagen ID.3 Pro";"59";365;162
"Volkswagen ID.3 Pro S";"79";475;166
"Volkswagen ID.3 Pure";"52";325;160
"Volkswagen ID.4 GTX";"79";435;182
"Volkswagen ID.4 GTX";"79";435;183
"Volkswagen ID.4 GTX";"77";435;182
"Volkswagen ID.4 GTX";"77";435;183
"Volkswagen ID.4 Pro";"79";445;173
"Volkswagen ID.4 Pro";"79";445;172
"Volkswagen ID.4 Pro";"77";445;173
"Volkswagen ID.4 Pro";"77";445;172
"Volkswagen ID.4 Pro 4MOTION";"77";435;175
"Volkswagen ID.4 Pro 4MOTION";"77";435;177
"Volkswagen ID.4 Pro 4MOTION";"77";435;175
"Volkswagen ID.4 Pro 4MOTION";"77";435;177
"Volkswagen ID.4 Pure";"58";285;182
"Volkswagen ID.4 Pure";"58";285;171
"Volkswagen ID.4 Pure";"52";285;182
"Volkswagen ID.4 Pure";"52";285;171
"Volkswagen ID.5 GTX";"79";445;178
"Volkswagen ID.5 GTX";"79";445;179
"Volkswagen ID.5 GTX";"77";445;178
"Volkswagen ID.5 GTX";"77";445;179
"Volkswagen ID.5 Pro";"79";455;170
"Volkswagen ID.5 Pro";"79";455;169
"Volkswagen ID.5 Pro";"77";455;170
"Volkswagen ID.5 Pro";"77";455;169
"Volkswagen ID.5 Pure";"58";320;163
"Volkswagen ID.5 Pure";"58";320;166
"Volkswagen ID.5 Pure";"52";320;163
"Volkswagen ID.5 Pure";"52";320;166
"Volkswagen ID.7 GTX";"86";500;172
"Volkswagen ID.7 Pro";"77";475;162
"Volkswagen ID.7 Pro S";"86";525;164
"Volkswagen ID.7 Tourer GTX";"86";500;172
"Volkswagen ID.7 Tourer Pro";"77";470;164
"Volkswagen ID.7 Tourer Pro S";"86";520;165
"Volvo EC40 Single Motor";"67";360;186
"Volvo EC40 Single Motor ER";"79";420;188
"Volvo EC40 Twin Motor";"79";400;198
"Volvo EC40 Twin Motor Performance";"79";400;198
"Volvo ES90 Single Motor";"88";485;181
"Volvo ES90 Twin Motor";"102";535;191
"Volvo ES90 Twin Motor Performance";"102";535;191
"Volvo EX30 Cross Country";"65";335;194
"Volvo EX30 Cross Country P5 Long Range";"65";350;186
"Volvo EX30 Cross Country P8 AWD";"65";330;197
"Volvo EX30 P3";"49";275;178
"Volvo EX30 P3 Long Range";"65";365;178
"Volvo EX30 P5";"49";275;178
"Volvo EX30 P5 Long Range";"65";365;178
"Volvo EX30 P8 AWD";"65";340;191
"Volvo EX30 Single Motor";"49";275;178
"Volvo EX30 Single Motor ER";"65";365;178
"Volvo EX30 Twin Motor Performance";"65";340;191
"Volvo EX40 Single Motor";"67";345;194
"Volvo EX40 Single Motor ER";"79";400;198
"Volvo EX40 Twin Motor";"79";385;205
"Volvo EX40 Twin Motor Performance";"79";385;205
"Volvo EX60 Cross Country P10 AWD";"91";490;186
"Volvo EX60 P10 AWD";"91";500;182
"Volvo EX60 P12 AWD";"112";610;184
"Volvo EX60 P6";"80";455;176
"Volvo EX90 Single Motor";"88";425;207
"Volvo EX90 Twin Motor";"102";480;213
"Volvo EX90 Twin Motor Performance";"102";465;219
"Voyah Courage 80 kWh AWD";"77.3";390;198
"Voyah Courage 80 kWh RWD";"77.3";395;196
"Voyah Free 106 kWh";"100";480;208
"XPENG G6 AWD Performance";"80";425;188
"XPENG G6 RWD Long Range";"80";435;184
"XPENG G6 RWD Standard Range";"67.8";380;178
"XPENG G9 AWD Performance";"92.2";465;198
"XPENG G9 RWD Long Range";"92.2";480;192
"XPENG G9 RWD Standard Range";"78.2";410;191
"XPENG P7 AWD Performance";"82.7";460;180
"XPENG P7 RWD Long Range";"82.7";495;167
"XPENG P7+ AWD Performance";"73";425;172
"XPENG P7+ RWD Long Range";"73";445;164
"XPENG P7+ RWD Standard Range";"60";375;160
"Zeekr 001 Long Range RWD";"94";505;186
"Zeekr 001 Performance AWD";"94";480;196
"Zeekr 001 Privilege AWD";"94";480;196
"Zeekr 7GT Core RWD";"72";410;176
"Zeekr 7GT Long Range RWD";"96";540;178
"Zeekr 7GT Privilege AWD";"96";515;186
"Zeekr 7X Core RWD";"72";380;189
"Zeekr 7X Long Range RWD";"96";500;192
"Zeekr 7X Privilege AWD";"96";485;198
"Zeekr X Core RWD";"49";270;181
"Zeekr X Long Range RWD";"65";360;181
"Zeekr X Privilege AWD";"65";350;186
